Reference bit,dirty bit,age,access count,replace
0,0,17,9999,0
0,1,20,9998,0
0,0,5,9997,0
0,0,10,9996,0
0,0,7,9995,0
0,1,20,9994,1
1,0,10,1587,1
0,0,3,9992,0
0,1,5,9991,1
0,0,14,8933,1
0,1,6,9989,1
0,0,16,9988,1
0,0,18,9987,1
0,0,1,9986,1
0,0,19,9985,1
0,0,19,9984,1
1,0,4,2534,1
0,0,15,9982,1
1,1,4,123,1
0,1,1,9980,0
0,0,11,9979,1
0,0,9,9978,0
0,0,11,9977,0
0,0,19,9976,1
0,0,11,9975,1
0,0,12,9974,1
0,0,14,9973,1
0,1,20,9972,1
0,0,17,9971,1
0,0,4,9970,1
0,0,4,5884,1
0,0,20,9968,0
0,0,2,9967,1
0,0,15,9966,0
0,0,3,9965,1
1,1,6,3212,1
0,0,3,9963,1
0,0,9,9101,1
0,0,20,9961,1
0,0,8,9960,1
0,0,12,9959,1
0,0,12,9286,1
0,0,13,9957,0
0,0,11,9956,1
0,0,3,9955,1
0,0,7,2931,0
0,0,18,9953,0
0,0,8,9952,1
0,0,8,9951,1
0,0,3,9950,1
0,0,18,9949,1
0,0,14,9948,1
0,0,7,9947,1
0,0,9,9946,1
0,0,11,9945,1
0,0,19,9944,1
0,0,10,9943,0
0,0,17,9942,1
0,0,12,9941,0
0,0,12,9940,1
0,0,5,9939,1
0,0,7,9938,1
0,0,8,9937,0
0,0,15,9695,1
0,0,2,9935,0
0,0,12,9934,1
0,0,10,9933,1
0,0,7,9932,1
0,0,10,9931,1
0,0,4,9930,1
0,0,10,9929,0
0,0,6,7015,1
0,0,18,9927,0
0,0,2,9926,1
0,0,2,9925,1
0,0,18,9924,0
0,0,2,3727,0
0,0,10,9922,1
0,0,18,9921,1
0,0,2,9920,0
0,0,7,9919,0
1,0,4,1026,0
0,0,14,9917,0
0,0,1,9916,1
0,0,11,9915,1
0,0,3,9914,1
0,0,10,9913,1
0,0,8,9912,1
0,0,6,9911,0
0,0,17,9910,1
0,0,7,9909,1
0,0,20,9908,1
0,0,2,9907,0
1,0,18,7898,1
0,0,9,9905,1
0,0,4,9904,1
0,0,19,9903,1
0,0,19,9902,1
0,0,12,9901,1
0,1,20,9900,0
1,0,10,8677,1
0,0,3,9898,1
0,0,7,9897,0
0,0,20,9896,1
0,0,10,9895,0
0,0,20,9894,0
0,0,6,9893,0
0,0,1,9892,1
0,0,8,9891,1
0,0,8,9890,1
0,0,9,9889,1
0,0,4,9888,1
0,0,16,9887,1
0,0,10,2362,1
0,0,15,9885,1
0,0,4,9884,1
0,1,5,9883,1
0,0,15,8403,0
0,0,13,9881,1
0,0,18,9880,1
0,1,4,9879,0
0,0,16,9878,1
0,1,16,9877,1
0,0,19,9876,1
0,0,8,9875,1
0,1,8,9874,1
0,0,12,9873,1
0,0,13,9872,0
0,0,11,9871,1
0,0,13,9870,1
0,1,8,9869,1
0,0,6,9868,0
1,0,6,8665,1
0,0,20,9866,1
0,1,11,9865,1
0,0,12,9864,1
1,0,17,8839,1
0,0,1,9862,1
0,0,11,9861,1
0,0,2,9860,1
0,0,4,4408,0
0,0,2,9858,0
0,0,13,9857,0
0,0,15,5827,0
0,0,18,9855,0
0,0,12,9854,1
0,0,17,9853,0
1,0,13,2670,1
0,0,14,9851,1
0,0,4,9850,0
0,0,19,9849,1
0,0,9,9848,1
0,0,7,9847,0
0,0,14,9846,1
0,0,10,9845,0
0,0,13,9844,1
0,0,11,9843,1
0,0,12,3716,0
0,0,13,9841,1
0,0,8,9840,1
0,0,18,7919,1
0,0,5,9838,1
0,0,6,9837,1
0,0,13,8246,0
0,0,20,9835,1
1,0,10,1489,0
0,0,16,9833,1
0,0,15,9832,1
0,0,5,9831,1
0,0,5,9830,1
0,0,13,8351,1
0,0,4,9828,0
1,1,8,380,1
0,0,6,9826,1
1,0,3,2181,1
1,0,14,9541,1
0,0,13,9823,0
0,0,4,9822,0
0,0,9,9821,1
0,0,10,9820,1
0,0,6,9819,0
0,0,1,9818,1
0,0,7,9817,1
0,0,7,9816,1
0,0,7,9815,1
0,0,6,9814,0
0,0,17,6137,1
0,1,15,9812,1
0,0,12,9811,0
0,0,20,2113,1
0,0,12,9809,1
0,0,7,9808,1
0,0,15,9807,1
0,0,6,9806,1
0,0,18,9805,0
0,1,11,9804,1
0,0,14,9803,1
0,0,7,9802,1
1,0,15,5434,1
0,0,18,9800,1
0,0,17,9799,1
0,0,18,9798,1
0,0,19,855,1
0,0,4,9796,1
0,0,18,9795,1
0,0,7,1662,1
0,0,6,9793,1
1,0,14,4218,1
0,0,18,9791,1
0,0,10,5702,0
0,0,17,9789,0
0,0,11,9788,0
0,0,3,9787,1
0,1,2,9786,1
0,0,18,9785,1
0,0,1,9784,1
0,0,7,9783,1
0,0,10,9782,1
0,0,14,9781,0
0,0,13,9780,1
0,0,10,9779,0
0,0,19,9778,0
0,0,6,9777,1
0,0,3,9776,1
0,0,17,9775,1
0,0,11,9774,0
0,0,5,9773,1
1,1,12,5346,1
0,0,16,9771,1
0,0,9,9770,1
1,0,6,7424,0
1,0,6,7126,1
0,0,4,9767,1
0,0,14,9766,1
0,0,20,9765,0
0,0,20,9764,1
1,0,14,9100,1
0,0,12,9762,1
0,0,16,9761,0
0,0,16,9760,0
0,1,3,9759,1
0,0,12,9758,1
1,0,8,7322,1
0,0,13,9756,1
0,0,1,9755,0
0,0,20,9754,0
0,0,20,9753,1
0,0,12,9752,1
0,0,8,9751,0
0,0,1,9750,0
0,0,20,9749,0
1,0,18,6787,0
0,0,13,9747,0
0,0,17,9746,1
0,0,11,9745,1
0,0,6,9744,1
0,0,7,9743,1
0,0,18,9742,1
0,0,19,9741,0
0,0,7,9740,0
0,0,7,9739,1
0,1,1,9738,1
0,1,7,9737,1
0,0,20,9736,1
0,0,9,361,0
0,0,18,9734,1
0,0,19,9733,1
0,0,10,9732,0
0,1,10,9731,1
0,0,14,9730,1
0,0,3,9729,1
0,0,7,9728,1
0,0,8,9727,1
0,1,14,9726,1
1,0,16,945,1
0,0,14,9724,1
0,0,17,9723,1
0,0,13,9722,0
0,0,10,9721,1
0,0,17,9720,0
0,1,12,9719,1
1,0,3,7462,0
0,0,12,9717,0
0,0,18,9716,1
0,0,9,9715,0
0,0,17,9714,1
0,0,3,9713,1
0,0,13,9712,1
0,0,15,9711,1
0,0,13,9710,1
0,0,18,9709,1
0,1,1,9708,1
0,0,17,9707,0
0,0,10,9706,1
0,0,11,9705,1
0,0,14,9704,1
0,1,15,9703,0
0,0,20,9702,1
0,0,8,9701,1
0,0,7,9700,0
0,1,17,9699,0
0,0,4,9698,1
0,0,10,9697,0
0,0,6,9696,0
1,0,14,9695,1
0,0,10,9694,1
0,0,3,9693,1
0,0,12,9692,1
1,0,13,2821,1
0,0,18,9690,0
0,0,19,9689,1
0,0,14,9688,0
0,0,10,9687,1
0,0,4,9686,0
0,0,8,9512,1
0,0,3,9684,0
0,0,16,9683,1
